td_id,spotsID,scenicSpots,time,day,people,cost
18538030,12711,云南,出发时间/2019-12-15,出行天数/8 天,人物/其它,人均费用/6000RMB
7292186,12711,云南,null,null,null,null
16872301,12711,云南,出发时间/2019-07-26,出行天数/21 天,人物/情侣/夫妻,人均费用/15000RMB
8541026,12711,云南,出发时间/2017-01-31,出行天数/7 天,人物/情侣/夫妻,人均费用/10000RMB
11187962,12711,云南,出发时间/2018-10-21,出行天数/6 天,人物/家庭出游,人均费用/3200RMB
10411458,12711,云南,出发时间/2018-07-07,出行天数/5 天,人物/家庭出游,人均费用/3500RMB
18743581,12711,云南,出发时间/2018-03-03,出行天数/11 天,人物/家庭出游,人均费用/8350RMB
16225491,12711,云南,出发时间/2019-07-16,出行天数/6 天,人物/ 和朋友,人均费用/6000RMB
18545092,12711,云南,出发时间/2019-11-24,出行天数/1 天,人物/家庭出游,人均费用/50RMB
7319786,12711,云南,出发时间/2017-07-15,出行天数/11 天,人物/家庭出游,人均费用/7000RMB
18207469,12711,云南,出发时间/2019-12-07,出行天数/10 天,人物/情侣/夫妻,人均费用/4000RMB
8325566,12711,云南,null,null,人物/家庭出游,人均费用/2000RMB
6549173,12711,云南,出发时间/2016-12-23,出行天数/12 天,人物/ 和朋友,人均费用/4000RMB
19014871,12711,云南,出发时间/2018-10-13,出行天数/7 天,人物/ 和朋友,人均费用/4600RMB
7743347,12711,云南,出发时间/2016-12-20,出行天数/5 天,人物/ 和朋友,人均费用/3500RMB
17831047,12711,云南,null,null,null,null
11796950,12711,云南,出发时间/2019-01-31,出行天数/8 天,人物/家庭出游,null
5312781,12711,云南,null,null,null,null
18077290,12711,云南,出发时间/2013-05-19,出行天数/9 天,人物/ 和朋友,null
11900386,12711,云南,出发时间/2019-02-07,出行天数/8 天,人物/ 和朋友,人均费用/2700RMB
16836532,12711,云南,出发时间/2019-08-09,出行天数/9 天,人物/情侣/夫妻,人均费用/8000RMB
5478724,12711,云南,出发时间/2016-04-03,出行天数/14 天,人物/情侣/夫妻,人均费用/6000RMB
11237918,12711,云南,出发时间/2018-04-01,出行天数/6 天,人物/一个人,人均费用/2000RMB
18759280,12711,云南,出发时间/2020-01-19,出行天数/8 天,人物/带孩子,人均费用/2500RMB
10367226,12711,云南,null,null,人物/一个人,null
11926218,12711,云南,出发时间/2015-05-01,出行天数/27 天,人物/一个人,人均费用/11000RMB
8322782,12711,云南,出发时间/2016-07-14,出行天数/17 天,人物/ 和朋友,人均费用/5000RMB
18602131,12711,云南,出发时间/2019-11-13,出行天数/17 天,人物/其它,人均费用/3300RMB
11316850,12711,云南,出发时间/2015-04-21,出行天数/27 天,人物/一个人,人均费用/11000RMB
18207106,12711,云南,出发时间/2019-12-20,出行天数/4 天,人物/ 和朋友,人均费用/2000RMB
18708601,12711,云南,出发时间/2019-09-30,出行天数/8 天,人物/情侣/夫妻,人均费用/4000RMB
6492965,12711,云南,出发时间/2016-12-06,出行天数/6 天,人物/ 和朋友,null
18554488,12711,云南,出发时间/2020-01-23,出行天数/5 天,人物/家庭出游,null
11415266,12711,云南,出发时间/2018-07-08,出行天数/13 天,人物/家庭出游,人均费用/5000RMB
19098787,12711,云南,出发时间/2019-12-09,出行天数/8 天,人物/家庭出游,人均费用/4000RMB
18653941,12711,云南,出发时间/2019-09-17,出行天数/5 天,人物/家庭出游,人均费用/1500RMB
12469778,12711,云南,出发时间/2019-04-13,出行天数/8 天,人物/ 和朋友,人均费用/5000RMB
7577456,12711,云南,出发时间/2016-12-29,出行天数/5 天,人物/ 和朋友,人均费用/5000RMB
11307330,12711,云南,出发时间/2017-04-02,出行天数/5 天,人物/情侣/夫妻,人均费用/5000RMB
18162850,12711,云南,出发时间/2019-10-14,出行天数/10 天,人物/ 和朋友,null
17838733,12711,云南,出发时间/2019-11-07,出行天数/15 天,人物/家庭出游,人均费用/3200RMB
18634243,12711,云南,出发时间/2019-04-06,出行天数/9 天,人物/一个人,人均费用/5000RMB
